marsha,HP,Owner Type,Contienent,FS-NetMRI-Data.Connectivity,device_ip,FS-NetMRI-Data.MAC Address,FS-NetMRI-Data.Vendor and Model,Device Name
WASCG,6,M,US Canada,Online,10.106.24.52,00:15:60:6B:97:80,HP Switch 2524 J4813A F.05.80,WASCGS02
WASCG,6,M,US Canada,Online,10.106.24.53,08:F1:EA:44:65:C0,HP Switch 2530 J9782A YB.16.10.0016,WASCGS03
WASCG,6,M,US Canada,Online,10.106.24.54,90:20:C2:A2:90:C0,HP Switch 2530 J9776A YA.16.10.0016,WASCGS01
ATLHW,4,M,US Canada,Online,10.43.232.41,54:80:28:2B:7F:C0,HP Switch 2930F JL262A WC.16.10.0016,ATLHWSw41
ATLHW,4,M,US Canada,Online,10.43.232.42,54:80:28:2B:1B:40,HP Switch 2930F JL262A WC.16.10.0016,ATLHWSw42
ATLHW,4,M,US Canada,Online,10.43.232.43,54:80:28:C1:60:00,HP Switch 2930F JL262A WC.16.10.0016,ATLHWSw43
ATLHW,4,M,US Canada,Online,10.43.232.40,54:80:28:C1:60:00,HP Switch 2930F JL262A WC.16.10.0016,ATLHWSw40
