marsha,HP,Owner Type,Contienent,FS-NetMRI-Data.Connectivity,device_ip,FS-NetMRI-Data.MAC Address,FS-NetMRI-Data.Vendor and Model,Device Name
SOSBW,4,M,US Canada,Online,10.103.240.63,98:F2:B3:94:E2:00,HP Switch 5406Rzl2 J9850A KB.16.10.0016,SOSBWSW63
SOSBW,4,M,US Canada,Online,10.103.240.64,00:FD:45:04:15:00,HP Switch 2620 J9627A RA.15.17.0009,SOSBWS64
SOSBW,4,M,US Canada,Online,10.103.240.65,00:FD:45:04:F4:40,HP Switch 2620 J9627A RA.16.04.0023,SOSBWS06
SOSBW,4,M,US Canada,Online,10.103.240.66,4C:D5:87:6F:2D:40,HP Switch-Router 6200F JL728B ML.10.13.0001,SOSBWS66
ATLPH,4,M,US Canada,Online,10.116.244.51,44:5B:ED:33:F0:80,HP Switch 6200 JL724A ML.10.06.0101,ATLPHS01
ATLPH,4,M,US Canada,Online,10.116.244.52,D4:C9:EF:36:B4:40,HP Switch 2530 J9782A YB.16.10.0016,ATLPHS52
ATLPH,4,M,US Canada,Online,10.116.244.53,A0:1D:48:1E:B0:40,HP Switch 2615 J9565A A.15.16.0021,ATLPHS06
ATLPH,4,M,US Canada,Online,10.116.244.54,A0:1D:48:1E:21:E0,HP Switch 2615 J9565A A.15.16.0021,ATLPHS125
